Unnamed: 0,void_init_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_read_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_scale_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d3pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d5pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_triad_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_
PS_IPC_(Issue)_max,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0"
PS_SALU_Util_avg,"5.96,5.83,8.32,8.24,10.57,10.49,12.7,12.57,14.6,14.46,16.33,15.98,17.85,17.58,18.89,17.93,19.33,18.89,21.07,20.41,21.99,20.87,21.98,21.5,22.07,21.72,22.52,21.54,23.42,22.35,22.93,21.94","2.98,2.88,5.73,5.34,8.26,8.05,10.45,9.72,12.34,12.48,14.29,13.82,16.14,16.15,18.04,17.23,19.22,19.45,19.5,18.93,19.51,19.02,19.52,19.07,19.55,19.07,19.58,18.87,19.57,19.16,19.59,19.07","2.22,2.02,3.94,3.63,5.5,5.4,7.09,6.97,8.33,8.1,9.25,8.96,10.19,9.84,10.7,10.18,10.77,10.81,11.65,11.08,11.65,11.22,11.83,11.36,11.49,11.5,11.97,10.96,11.86,11.43,11.24,11.12","2.09,2.07,3.66,3.72,5.16,4.97,6.3,5.95,7.12,8.02,8.89,8.65,9.38,9.23,9.84,9.58,9.8,9.75,10.3,10.09,10.36,10.3,10.79,10.65,10.5,10.61,11.05,10.26,11.38,10.98,10.98,10.45","2.44,2.23,4.2,3.91,5.75,5.64,7.18,7.06,8.22,6.77,7.52,6.89,7.64,7.13,7.46,6.95,6.94,6.84,7.36,7.17,7.28,7.05,7.43,7.19,6.95,7.07,7.34,6.68,7.43,6.91,6.81,6.57","2.3,1.94,4.02,3.54,5.61,5.51,7.15,6.92,8.43,8.19,9.26,9.15,10.32,10.09,10.79,9.99,10.27,10.43,11.16,10.92,11.03,10.84,11.35,11.1,10.81,10.9,11.61,10.45,11.75,11.06,10.93,10.59"
PS_SALU_Util_min,"3.29,3.12,6.12,6.01,8.82,8.7,11.36,11.19,13.61,13.41,15.61,15.14,17.32,16.95,18.42,17.27,18.73,18.3,20.52,20.02,21.41,20.52,21.61,20.95,21.68,18.58,22.19,21.15,22.88,21.87,22.25,21.38","2.97,2.87,5.69,5.28,8.2,7.94,10.35,9.61,12.19,12.3,14.09,13.6,15.9,15.79,17.66,16.88,18.69,18.97,18.73,18.36,18.73,18.51,18.69,18.53,18.74,18.56,18.58,18.04,18.59,18.67,18.71,18.58","2.21,2.01,3.92,3.62,5.48,5.36,7.04,6.92,8.27,8.03,9.15,8.85,10.09,9.73,10.57,9.97,10.52,10.68,11.45,10.86,11.1,11.04,11.68,11.16,11.32,11.37,11.84,10.84,11.79,11.36,11.08,10.92","2.09,2.07,3.65,3.7,5.12,4.94,6.22,5.9,7.05,7.96,8.84,8.58,9.32,9.19,9.8,9.53,9.76,9.68,10.22,10.02,10.3,10.19,10.62,10.59,10.38,10.39,10.88,10.2,11.33,10.91,10.93,10.31","2.42,2.22,4.19,3.9,5.73,5.61,7.15,7.0,8.17,6.72,7.38,6.47,7.52,7.04,7.41,6.87,6.83,6.73,7.11,7.1,7.1,6.79,7.21,6.85,6.89,6.85,7.12,6.65,7.39,6.76,6.73,6.45","2.29,1.94,4.01,3.52,5.59,5.47,7.12,6.86,8.35,8.14,9.2,8.92,10.23,9.94,10.64,9.93,10.17,10.27,10.89,10.8,10.88,10.56,11.03,10.8,10.74,9.92,11.2,10.39,11.64,10.85,10.85,10.49"
PS_SALU_Util_max,"18.69,18.75,18.78,18.74,18.73,18.8,18.75,18.76,18.76,18.79,18.83,18.79,18.82,18.77,19.47,18.8,20.04,19.63,21.85,20.94,22.68,21.27,22.54,22.36,22.51,22.29,22.94,22.02,24.21,22.84,24.0,22.57","2.99,2.9,5.77,5.38,8.36,8.18,10.61,9.83,12.58,12.64,14.42,14.05,16.39,16.53,18.39,17.76,19.66,20.16,20.35,19.77,20.33,19.77,20.29,19.77,20.35,19.76,20.37,19.72,20.38,19.81,20.4,19.8","2.22,2.02,3.95,3.64,5.52,5.44,7.13,7.03,8.4,8.17,9.34,9.07,10.31,10.0,10.82,10.32,11.21,11.05,11.96,11.28,11.97,11.54,12.03,11.57,11.64,11.65,12.11,11.11,11.95,11.5,11.43,11.35","2.09,2.08,3.68,3.73,5.18,5.01,6.35,6.0,7.2,8.08,8.95,8.76,9.42,9.29,9.89,9.64,9.85,9.82,10.38,10.16,10.4,10.36,10.91,10.75,10.72,10.69,11.11,10.31,11.47,11.09,11.03,10.55","2.46,2.23,4.2,3.92,5.76,5.66,7.21,7.11,8.26,6.84,7.63,7.09,7.69,7.25,7.52,7.05,7.1,7.1,7.58,7.23,7.57,7.25,7.53,7.26,7.13,7.25,7.51,6.73,7.5,7.18,6.97,6.71","2.31,1.95,4.02,3.56,5.63,5.53,7.2,6.97,8.49,8.25,9.33,9.28,10.42,10.21,10.95,10.07,10.37,10.81,11.39,11.06,11.46,11.1,11.6,11.24,10.92,11.37,11.8,10.5,11.9,11.44,11.0,10.84"
PS_VALU_Util_avg,"4.88,4.77,6.81,6.74,8.65,8.58,10.39,10.28,11.95,11.83,13.36,13.07,14.6,14.39,15.45,14.67,15.81,15.46,12.04,11.66,12.57,11.93,12.56,12.29,12.61,12.41,12.87,12.31,13.38,12.77,13.1,12.54","1.7,1.65,3.27,3.05,4.72,4.6,5.97,5.55,7.05,7.13,8.16,7.9,9.22,9.23,10.31,9.84,10.98,11.11,15.95,15.49,15.96,15.56,15.97,15.6,15.99,15.6,16.02,15.44,16.01,15.67,16.03,15.6","1.74,1.59,3.09,2.85,4.32,4.24,5.57,5.47,6.54,6.36,7.27,7.04,8.0,7.73,8.41,8.0,8.46,8.5,9.15,8.71,9.15,8.81,9.29,8.92,9.03,9.03,9.41,8.61,9.32,8.98,8.83,8.74","2.09,1.8,3.66,3.22,5.16,4.97,6.3,5.95,7.12,13.68,15.17,14.75,15.99,15.75,16.79,16.35,16.72,16.63,17.57,17.21,17.67,17.57,18.41,18.17,17.91,18.1,18.84,17.5,19.42,18.73,18.73,17.83","4.17,3.8,7.16,6.68,9.8,9.62,12.25,12.04,14.02,6.77,7.52,6.89,7.64,7.13,7.46,6.95,6.94,6.84,7.36,7.17,7.28,7.05,7.43,7.19,6.95,7.07,7.34,6.68,7.43,6.91,6.81,6.57","1.99,1.94,3.48,3.54,4.86,4.77,6.2,5.99,7.3,7.1,8.03,7.93,8.95,8.74,9.35,8.65,8.9,9.04,9.67,9.46,9.56,9.39,9.84,9.62,9.37,9.45,10.06,9.06,10.18,9.58,9.47,9.18"
PS_VALU_Util_min,"2.69,2.56,5.01,4.92,7.21,7.12,9.3,9.15,11.13,10.97,12.78,12.39,14.17,13.87,15.07,14.13,15.33,14.97,11.73,11.44,12.24,11.72,12.35,11.97,12.39,10.62,12.68,12.08,13.07,12.5,12.72,12.22","1.7,1.64,3.25,3.01,4.68,4.54,5.91,5.49,6.96,7.03,8.05,7.77,9.08,9.03,10.09,9.65,10.68,10.84,15.32,15.02,15.32,15.14,15.29,15.16,15.33,15.19,15.2,14.76,15.21,15.27,15.31,15.2","1.74,1.58,3.08,2.84,4.31,4.21,5.53,5.44,6.49,6.31,7.19,6.96,7.93,7.65,8.3,7.83,8.27,8.39,9.0,8.54,8.72,8.67,9.18,8.77,8.9,8.94,9.3,8.52,9.27,8.93,8.7,8.58","2.09,1.79,3.65,3.21,5.12,4.94,6.22,5.9,7.05,13.59,15.08,14.64,15.9,15.67,16.71,16.25,16.65,16.52,17.44,17.09,17.57,17.39,18.12,18.07,17.71,17.73,18.56,17.4,19.32,18.62,18.65,17.59","4.13,3.79,7.15,6.66,9.77,9.58,12.2,11.94,13.94,6.72,7.38,6.47,7.52,7.04,7.41,6.87,6.83,6.73,7.11,7.1,7.1,6.79,7.21,6.85,6.89,6.85,7.12,6.65,7.39,6.76,6.73,6.45","1.99,1.94,3.48,3.52,4.84,4.74,6.17,5.95,7.23,7.05,7.97,7.73,8.86,8.61,9.22,8.61,8.81,8.9,9.44,9.36,9.43,9.15,9.56,9.36,9.31,8.6,9.7,9.01,10.09,9.4,9.4,9.09"
PS_VALU_Util_max,"15.29,15.34,15.36,15.33,15.33,15.38,15.34,15.35,15.35,15.38,15.4,15.37,15.4,15.36,15.93,15.38,16.4,16.06,12.49,11.97,12.96,12.16,12.88,12.78,12.86,12.74,13.11,12.58,13.84,13.05,13.71,12.9","1.71,1.65,3.29,3.07,4.77,4.68,6.06,5.62,7.19,7.22,8.24,8.03,9.37,9.44,10.51,10.15,11.24,11.52,16.65,16.18,16.64,16.18,16.6,16.18,16.65,16.16,16.66,16.13,16.67,16.21,16.69,16.2","1.74,1.59,3.1,2.86,4.34,4.27,5.6,5.52,6.6,6.42,7.34,7.13,8.1,7.86,8.5,8.11,8.81,8.69,9.4,8.87,9.4,9.07,9.45,9.09,9.14,9.15,9.51,8.73,9.39,9.03,8.98,8.92","2.09,1.8,3.68,3.23,5.18,5.01,6.35,6.0,7.2,13.78,15.27,14.95,16.07,15.84,16.88,16.45,16.81,16.76,17.7,17.33,17.73,17.68,18.6,18.34,18.29,18.24,18.95,17.59,19.56,18.91,18.82,17.99","4.19,3.8,7.17,6.69,9.83,9.66,12.3,12.13,14.09,6.84,7.63,7.09,7.69,7.25,7.52,7.05,7.1,7.1,7.58,7.23,7.57,7.25,7.53,7.26,7.13,7.25,7.51,6.73,7.5,7.18,6.97,6.71","2.0,1.95,3.49,3.56,4.88,4.8,6.24,6.04,7.36,7.15,8.09,8.04,9.03,8.85,9.49,8.72,8.99,9.36,9.87,9.58,9.93,9.62,10.06,9.74,9.47,9.85,10.22,9.1,10.31,9.91,9.53,9.39"
PS_VALU_Active_Threads_avg,"37.57,64.0,50.78,64.0,55.19,64.0,57.39,64.0,58.71,64.0,59.59,64.0,60.22,64.0,60.7,64.0,61.06,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,61.36,64.0,61.6,64.0,61.8,64.0,61.97,64.0,62.11,64.0,62.24,64.0,62.35,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0"
PS_VALU_Active_Threads_min,"32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0"
PS_VALU_Active_Threads_max,"64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0","32.0,64.0,48.0,64.0,53.33,64.0,56.0,64.0,57.6,64.0,58.67,64.0,59.43,64.0,60.0,64.0,60.44,64.0,60.8,64.0,61.09,64.0,61.33,64.0,61.54,64.0,61.71,64.0,61.87,64.0,62.0,64.0"
ICSoL_Bandwidth,"6.85,6.67,9.57,9.49,12.18,12.0,14.62,14.46,16.79,16.66,18.78,18.46,20.6,20.41,21.96,20.8,22.51,22.09,19.03,18.46,19.83,18.81,19.68,19.21,19.84,19.55,20.09,19.5,21.27,19.89,20.45,19.63","2.74,2.63,5.23,4.85,7.54,7.34,9.51,8.83,11.19,10.99,12.99,12.57,14.66,14.63,16.42,15.49,17.48,17.76,22.68,21.98,22.68,22.02,22.65,22.07,22.61,22.12,22.71,22.08,22.67,22.07,22.68,22.15","2.32,2.11,4.1,3.78,5.69,5.57,7.29,7.12,8.57,8.25,9.41,9.14,10.44,9.9,10.55,10.23,11.15,10.91,11.82,11.13,11.78,10.68,11.18,10.83,12.04,11.63,11.38,11.76,11.89,11.62,11.85,11.46","2.19,2.27,3.8,4.05,5.33,5.12,6.48,6.11,7.11,9.76,10.83,10.93,11.52,11.15,11.85,11.54,12.59,12.28,12.84,12.12,12.88,12.07,12.69,12.39,13.05,13.16,12.87,13.3,13.4,13.5,13.75,12.97","3.15,2.86,5.37,5.0,7.3,7.15,9.1,8.92,10.19,6.41,7.17,7.17,7.24,6.72,7.03,6.54,7.47,7.17,7.63,6.91,7.61,6.69,6.95,6.76,7.47,7.29,7.0,7.18,7.04,7.21,7.3,6.74","2.51,2.03,4.39,3.66,6.09,5.96,7.73,7.48,8.91,8.47,9.63,9.81,10.68,10.14,10.79,10.24,11.24,11.29,12.01,10.98,11.72,10.79,11.21,10.9,11.84,11.81,11.4,11.83,11.63,12.0,12.12,11.3"
ICSoL_Cache_Hit,"100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0"
ICA_Req_min,"7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0","12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0"
ICA_Req_max,"7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0","12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0"
ICA_Req_mean,"7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0","12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0"
ICA_Hits_min,"7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0","12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0"
ICA_Hits_max,"7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0","8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0","12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0","9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0"
