Unnamed: 0,initKernel(HIP_vector_type<float__4u>*__unsigned_long)_,void_sumKernel<24__1024>(HIP_vector_type<float__4u>*__HIP_vector_type<float__4u>_const*__int)_
SS_Dispatched_Workgroups_max,"52.0,52.0,104.0,104.0,52.0,52.0","100027.0,100012.0,100000.0,100007.0,100000.0,100001.0"
SS_Dispatched_Wavefronts_avg,"208.0,208.0,209.21,209.21,208.0,208.0","1600002.05,1600000.71,1600000.0,1600000.37,1600000.0,1600000.03"
SS_Dispatched_Wavefronts_min,"208.0,208.0,208.0,208.0,208.0,208.0","1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0"
SS_Dispatched_Wavefronts_max,"208.0,208.0,416.0,416.0,208.0,208.0","1600176.0,1600061.0,1600000.0,1600032.0,1600000.0,1600003.0"
SS_Wave_Alloc_Failed_avg,"12.0,12.0,12.0,12.0,12.0,12.0","69674707.55,70259121.2,69865996.88,69408415.4,70035877.19,68854426.08"
SS_Wave_Alloc_Failed_min,"12.0,12.0,12.0,12.0,12.0,12.0","12906023.0,12825805.0,12514287.0,13091438.0,12754603.0,12961131.0"
SS_Wave_Alloc_Failed_max,"12.0,12.0,12.0,12.0,12.0,12.0","120369787.0,120619477.0,123227053.0,126324201.0,119265683.0,126297591.0"
SS_Wave_Alloc_Failed_-_CS_avg,"220.0,220.0,220.0,220.0,220.65,221.21","47031510.6,47992389.92,47723680.43,46975477.59,47880800.05,46619087.05"
SS_Wave_Alloc_Failed_-_CS_min,"220.0,220.0,220.0,220.0,220.0,220.0","2099469.0,1895530.0,1986253.0,2333647.0,2036881.0,1943794.0"
SS_Wave_Alloc_Failed_-_CS_max,"220.0,220.0,220.0,220.0,332.0,428.0","84778465.0,87879341.0,87401660.0,88553903.0,83518697.0,84609588.0"
SRA_Wave_request_Failed_(CS)_avg,"220.0,220.0,220.0,220.0,220.65,221.21","47031510.6,47992389.92,47723680.43,46975477.59,47880800.05,46619087.05"
SRA_Wave_request_Failed_(CS)_min,"220.0,220.0,220.0,220.0,220.0,220.0","2099469.0,1895530.0,1986253.0,2333647.0,2036881.0,1943794.0"
SRA_Wave_request_Failed_(CS)_max,"220.0,220.0,220.0,220.0,332.0,428.0","84778465.0,87879341.0,87401660.0,88553903.0,83518697.0,84609588.0"
SRA_CS_Stall_avg,"0.0,0.0,0.0,0.0,0.0,0.0","24121205.58,24076458.41,23440085.02,23845819.38,24199162.57,23946822.33"
SRA_CS_Stall_min,"0.0,0.0,0.0,0.0,0.0,0.0","3490925.0,3536917.0,4084614.0,3995654.0,3783178.0,3830458.0"
SRA_CS_Stall_max,"0.0,0.0,0.0,0.0,0.0,0.0","47070882.0,44770415.0,41522325.0,42561040.0,41854516.0,43086455.0"
SRA_CS_Stall_Rate_avg,"0.0,0.0,0.0,0.0,0.0,0.0","64.97,65.22,63.33,63.82,65.7,65.01"
SRA_CS_Stall_Rate_min,"0.0,0.0,0.0,0.0,0.0,0.0","28.23,28.63,31.78,32.76,31.4,29.71"
SRA_CS_Stall_Rate_max,"0.0,0.0,0.0,0.0,0.0,0.0","173.95,188.8,176.22,179.19,182.92,172.98"
SRA_Insufficient_SIMD_Waveslots_avg,"0.0,0.0,0.0,0.0,0.0,0.0","1175394048.1,1138589774.63,1166989192.62,1186949180.5,1191031652.81,1144814054.71"
SRA_Insufficient_SIMD_Waveslots_min,"0.0,0.0,0.0,0.0,0.0,0.0","167887281.0,189091748.0,185560147.0,187564970.0,200945181.0,180691253.0"
SRA_Insufficient_SIMD_Waveslots_max,"0.0,0.0,0.0,0.0,0.0,0.0","2139943648.0,2001061983.0,2378674706.0,2170257915.0,2031870481.0,2221941503.0"
SRA_Insufficient_SIMD_VGPRs_avg,"0.0,0.0,0.0,0.0,0.0,0.0","1182759246.33,1145698350.88,1174408832.49,1193926382.06,1198500907.67,1151825391.8"
SRA_Insufficient_SIMD_VGPRs_min,"0.0,0.0,0.0,0.0,0.0,0.0","168737224.0,190285113.0,187440256.0,189596530.0,203043146.0,181836446.0"
SRA_Insufficient_SIMD_VGPRs_max,"0.0,0.0,0.0,0.0,0.0,0.0","2159440489.0,2009963956.0,2392857337.0,2184502945.0,2047555033.0,2233206900.0"
SRA_VGPR_Writes_avg,"4.0,4.0,3.99,3.99,4.0,4.0","4.0,4.0,4.0,4.0,4.0,4.0"
SRA_VGPR_Writes_min,"4.0,4.0,2.0,2.0,4.0,4.0","4.0,4.0,4.0,4.0,4.0,4.0"
SRA_VGPR_Writes_max,"4.0,4.0,4.0,4.0,4.0,4.0","4.0,4.0,4.0,4.0,4.0,4.0"
SRA_SGPR_Writes_avg,"2.0,2.0,1.16,1.99,2.0,2.0","2.0,2.0,1.16,2.0,2.0,2.0"
SRA_SGPR_Writes_min,"2.0,2.0,0.0,1.0,2.0,2.0","2.0,2.0,0.0,2.0,2.0,2.0"
SRA_SGPR_Writes_max,"2.0,2.0,2.0,2.0,2.0,2.0","2.0,2.0,2.0,2.0,2.0,2.0"
WLS_Grid_Size_avg,"13312.0,13312.0,13312.0,13312.0,13312.0,13312.0","102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0"
WLS_Grid_Size_min,"13312.0,13312.0,13312.0,13312.0,13312.0,13312.0","102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0"
WLS_Grid_Size_max,"13312.0,13312.0,13312.0,13312.0,13312.0,13312.0","102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0"
WLS_Workgroup_Size_avg,"256.0,256.0,256.0,256.0,256.0,256.0","1024.0,1024.0,1024.0,1024.0,1024.0,1024.0"
WLS_Workgroup_Size_min,"256.0,256.0,256.0,256.0,256.0,256.0","1024.0,1024.0,1024.0,1024.0,1024.0,1024.0"
WLS_Workgroup_Size_max,"256.0,256.0,256.0,256.0,256.0,256.0","1024.0,1024.0,1024.0,1024.0,1024.0,1024.0"
WLS_Total_Wavefronts_avg,"208.0,208.0,209.21,209.21,208.0,208.0","1600002.05,1600000.71,1600000.0,1600000.37,1600000.0,1600000.03"
WLS_Total_Wavefronts_min,"208.0,208.0,208.0,208.0,208.0,208.0","1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0"
WLS_Total_Wavefronts_max,"208.0,208.0,416.0,416.0,208.0,208.0","1600176.0,1600061.0,1600000.0,1600032.0,1600000.0,1600003.0"
WLS_Restored_Wavefronts_avg,"0.0,0.0,3.63,0.0,0.0,0.0","0.0,0.8,229.44,0.0,0.0,0.05"
WLS_Restored_Wavefronts_max,"0.0,0.0,208.0,0.0,0.0,0.0","0.0,69.0,4554.0,0.0,0.0,4.0"
WLS_VGPRs_avg,"8.0,8.0,8.0,8.0,8.0,8.0","60.0,60.0,60.0,60.0,60.0,60.0"
WLS_VGPRs_min,"8.0,8.0,8.0,8.0,8.0,8.0","60.0,60.0,60.0,60.0,60.0,60.0"
WLS_VGPRs_max,"8.0,8.0,8.0,8.0,8.0,8.0","60.0,60.0,60.0,60.0,60.0,60.0"
WLS_AGPRs_avg,"0.0,0.0,0.0,0.0,0.0,0.0","4.0,4.0,4.0,4.0,4.0,4.0"
WLS_AGPRs_min,"0.0,0.0,0.0,0.0,0.0,0.0","4.0,4.0,4.0,4.0,4.0,4.0"
WLS_AGPRs_max,"0.0,0.0,0.0,0.0,0.0,0.0","4.0,4.0,4.0,4.0,4.0,4.0"
WLS_SGPRs_avg,"16.0,16.0,16.0,16.0,16.0,16.0","16.0,16.0,16.0,16.0,16.0,16.0"
WLS_SGPRs_min,"16.0,16.0,16.0,16.0,16.0,16.0","16.0,16.0,16.0,16.0,16.0,16.0"
WLS_SGPRs_max,"16.0,16.0,16.0,16.0,16.0,16.0","16.0,16.0,16.0,16.0,16.0,16.0"
WRS_Kernel_Time_(Nanosec)_avg,"371633.56,372183.22,371347.36,369277.86,372899.21,371108.69","26256093.7,28850540.25,26689252.47,26390859.47,25850902.9,25541989.35"
WRS_Kernel_Time_(Nanosec)_min,"2560.0,2720.0,2560.0,2720.0,2400.0,2720.0","7450883.5,7472794.5,7453905.0,7474832.0,7482103.5,7489614.5"
WRS_Kernel_Time_(Nanosec)_max,"2917920.5,2923840.0,2908636.5,2872796.5,2997607.0,2936804.0","200123599.5,416092215.5,255736489.0,212042885.0,184793187.5,181909194.0"
WRS_Kernel_Time_(Cycles)_avg,"628035.64,627633.94,628541.44,628734.31,627146.69,626694.7","39425821.9,39172153.59,39650000.62,38730175.72,39513742.84,39868266.94"
WRS_Kernel_Time_(Cycles)_min,"14534.0,13906.0,14515.0,13070.0,13877.0,13834.0","11914097.0,11889863.0,11884369.0,11873684.0,11851934.0,11836319.0"
WRS_Kernel_Time_(Cycles)_max,"4940603.0,5078161.0,4728322.0,4820002.0,4787270.0,4878853.0","69445906.0,69626997.0,69054232.0,64450680.0,68913637.0,69519653.0"
WRS_Instr/wavefront_avg,"31623.94,31624.07,30858.0,31626.97,31624.61,31624.75","268.0,268.0,267.97,268.0,268.0,268.0"
WRS_Instr/wavefront_min,"69.69,69.83,69.96,70.1,70.37,70.5","268.0,268.0,267.32,268.0,267.99,268.0"
WRS_Instr/wavefront_max,"246461.08,246461.21,246461.35,246461.48,246461.75,246461.88","268.08,268.03,268.0,268.02,268.0,268.0"
WRS_Wave_Cycles_avg,"590084.58,589967.95,574239.11,590562.66,589162.82,588056.83","53006.25,52626.8,53764.53,52024.57,53106.45,53585.74"
WRS_Wave_Cycles_min,"2848.63,2857.58,2826.71,2876.79,3116.0,2894.77","13397.21,13154.08,13405.27,13708.36,13403.33,12894.09"
WRS_Wave_Cycles_max,"4720535.17,4852114.73,4578664.85,4604949.6,4616979.19,4659871.9","94248.73,92684.81,95582.17,85228.39,90384.38,95406.7"
WRS_Dependency_Wait_Cycles_avg,"93462.87,93469.97,91270.37,93531.35,93516.5,93506.55","6469.87,6490.69,6477.73,6580.54,6529.61,6482.65"
WRS_Dependency_Wait_Cycles_min,"2555.73,2577.1,2533.94,2520.17,2598.63,2603.33","1941.61,1931.98,1943.17,1936.5,1943.2,1930.19"
WRS_Dependency_Wait_Cycles_max,"708710.0,708644.15,708927.52,709577.65,707814.42,709191.42","11258.48,10788.19,11297.67,11357.71,11276.46,11165.88"
WRS_Issue_Wait_Cycles_avg,"372432.78,369193.94,358449.51,368992.99,368827.5,366261.58","45511.16,45017.06,45300.83,45574.15,46022.53,44958.47"
WRS_Issue_Wait_Cycles_min,"23.31,23.04,21.88,22.23,22.58,22.1","10461.82,9886.46,10354.43,10178.04,10052.18,10149.61"
WRS_Issue_Wait_Cycles_max,"2926652.94,2851163.88,3037081.25,2855471.12,2947213.56,3066481.29","82045.83,79452.28,80457.58,81103.39,80990.51,80198.39"
WRS_Active_Cycles_avg,"126487.76,126488.3,123413.36,126489.37,126490.45,126490.99","984.0,984.0,983.9,984.0,984.0,984.0"
WRS_Active_Cycles_min,"270.77,271.31,271.85,272.38,273.46,274.0","983.96,984.0,981.51,984.0,983.96,983.99"
WRS_Active_Cycles_max,"985836.31,985836.85,985837.38,985837.92,985839.0,985839.54","984.0,984.05,984.0,984.02,984.0,984.0"
WRS_Wavefront_Occupancy_avg,"148.07,148.45,148.06,148.6,148.71,148.42","2143.6,2150.13,2149.77,2147.13,2135.92,2146.28"
WRS_Wavefront_Occupancy_min,"42.44,42.74,40.59,40.56,41.92,41.59","1562.29,1606.34,1627.58,1589.85,1591.73,1630.65"
WRS_Wavefront_Occupancy_max,"200.64,200.48,201.03,200.63,200.85,201.37","2644.32,2660.03,2646.62,2647.72,2653.14,2662.04"
IM_VALU_-_Vector_avg,"22579.67,22579.77,22030.76,22580.01,22580.15,22580.25","185.0,185.0,184.98,185.0,185.0,185.0"
IM_VALU_-_Vector_min,"40.92,41.02,41.12,41.21,41.4,41.5","185.0,185.0,184.53,185.0,184.99,185.0"
IM_VALU_-_Vector_max,"176034.77,176034.87,176034.96,176035.06,176035.25,176035.35","185.01,185.0,185.0,185.0,185.0,185.0"
IM_VMEM_avg,"2257.57,2257.58,2202.77,2257.69,2257.62,2257.62","24.0,24.0,24.0,24.0,24.0,24.0"
IM_VMEM_min,"3.69,3.7,3.71,3.72,3.74,3.75","24.0,24.0,23.94,24.0,24.0,24.0"
IM_VMEM_max,"17603.08,17603.09,17603.1,17603.11,17603.12,17603.13","24.01,24.0,24.0,24.0,24.0,24.0"
IM_SALU_avg,"4522.13,4522.15,4413.87,4523.76,4522.23,4522.25","28.0,28.0,28.0,28.0,28.0,28.0"
IM_SALU_min,"14.38,14.4,14.42,14.44,14.48,14.5","28.0,28.0,27.93,28.0,28.0,28.0"
IM_SALU_max,"35213.15,35213.17,35213.19,35213.21,35213.25,35213.27","28.04,28.01,28.0,28.01,28.0,28.0"
IM_SMEM_avg,"3.0,3.0,2.98,3.0,3.0,3.0","3.0,3.0,3.0,3.0,3.0,3.0"
IM_SMEM_min,"3.0,3.0,1.5,3.0,3.0,3.0","3.0,3.0,2.99,3.0,3.0,3.0"
IM_SMEM_max,"3.0,3.0,3.0,3.0,3.0,3.0","3.0,3.0,3.0,3.0,3.0,3.0"
IM_Branch_avg,"2258.57,2258.58,2203.67,2258.6,2258.62,2258.62","2.0,2.0,2.0,2.0,2.0,2.0"
IM_Branch_min,"4.69,4.7,4.71,4.72,4.74,4.75","2.0,2.0,1.99,2.0,2.0,2.0"
IM_Branch_max,"17604.08,17604.09,17604.1,17604.11,17604.12,17604.13","2.0,2.0,2.0,2.0,2.0,2.0"
VAIM_INT32_avg,"9032.27,9032.31,8812.68,9032.38,9032.46,9032.5","81.0,81.0,80.99,81.0,81.0,81.0"
VAIM_INT32_min,"16.77,16.81,16.85,16.88,16.96,17.0","81.0,81.0,80.8,81.0,81.0,81.0"
VAIM_INT32_max,"70414.31,70414.35,70414.38,70414.42,70414.5,70414.54","81.0,81.0,81.0,81.0,81.0,81.0"
VAIM_INT64_avg,"2258.57,2258.58,2203.67,2258.6,2258.62,2258.62","18.0,18.0,18.0,18.0,18.0,18.0"
VAIM_INT64_min,"4.69,4.7,4.71,4.72,4.74,4.75","18.0,18.0,17.95,18.0,18.0,18.0"
VAIM_INT64_max,"17604.08,17604.09,17604.1,17604.11,17604.12,17604.13","18.0,18.0,18.0,18.0,18.0,18.0"
VAIM_F32-ADD_avg,"0.0,0.0,0.0,0.0,0.0,0.0","48.0,48.0,47.99,48.0,48.0,48.0"
VAIM_F32-ADD_min,"0.0,0.0,0.0,0.0,0.0,0.0","48.0,48.0,47.88,48.0,48.0,48.0"
VAIM_F32-ADD_max,"0.0,0.0,0.0,0.0,0.0,0.0","48.0,48.0,48.0,48.0,48.0,48.0"
VAIM_F32-MUL_avg,"0.0,0.0,0.0,0.0,0.0,0.0","3.0,3.0,3.0,3.0,3.0,3.0"
VAIM_F32-MUL_min,"0.0,0.0,0.0,0.0,0.0,0.0","3.0,3.0,2.99,3.0,3.0,3.0"
VAIM_F32-MUL_max,"0.0,0.0,0.0,0.0,0.0,0.0","3.0,3.0,3.0,3.0,3.0,3.0"
VAIM_F32-Trans_avg,"0.0,0.0,0.0,0.0,0.0,0.0","1.0,1.0,1.0,1.0,1.0,1.0"
VAIM_F32-Trans_min,"0.0,0.0,0.0,0.0,0.0,0.0","1.0,1.0,1.0,1.0,1.0,1.0"
VAIM_F32-Trans_max,"0.0,0.0,0.0,0.0,0.0,0.0","1.0,1.0,1.0,1.0,1.0,1.0"
VAIM_Conversion_avg,"0.0,0.0,0.0,0.0,0.0,0.0","2.0,2.0,2.0,2.0,2.0,2.0"
VAIM_Conversion_min,"0.0,0.0,0.0,0.0,0.0,0.0","2.0,2.0,1.99,2.0,2.0,2.0"
VAIM_Conversion_max,"0.0,0.0,0.0,0.0,0.0,0.0","2.0,2.0,2.0,2.0,2.0,2.0"
CUCPSoL_valu_flops_pop,"0.0,0.0,0.0,0.0,0.0,0.0","1.45,1.45,1.46,1.45,1.46,1.46"
PS_IPC_(Avg)_avg,"0.21,0.2,0.2,0.2,0.21,0.21","0.16,0.16,0.16,0.16,0.16,0.16"
PS_IPC_(Avg)_min,"0.06,0.07,0.06,0.07,0.07,0.07","0.06,0.06,0.06,0.07,0.06,0.06"
PS_IPC_(Avg)_max,"0.25,0.25,0.25,0.25,0.25,0.25","0.35,0.35,0.35,0.35,0.35,0.35"
PS_IPC_(Issue)_avg,"1.0,1.0,1.0,1.0,1.0,1.0","0.99,0.99,0.99,0.99,0.99,0.99"
PS_IPC_(Issue)_min,"1.0,1.0,1.0,1.0,1.0,1.0","0.99,0.99,0.99,0.99,0.99,0.99"
PS_IPC_(Issue)_max,"1.0,1.0,1.0,1.0,1.0,1.0","0.99,0.99,0.99,0.99,0.99,0.99"
PS_SALU_Util_avg,"1.12,1.11,1.11,1.12,1.12,1.12","1.85,1.86,1.84,1.86,1.85,1.84"
PS_SALU_Util_min,"0.22,0.22,0.23,0.21,0.22,0.21","0.69,0.68,0.69,0.74,0.69,0.69"
PS_SALU_Util_max,"1.53,1.53,1.51,1.5,1.51,1.53","4.0,4.01,4.01,4.02,4.02,4.03"
PS_VALU_Util_avg,"5.4,5.4,5.4,5.4,5.43,5.43","11.22,11.29,11.17,11.3,11.22,11.16"
PS_VALU_Util_min,"0.55,0.58,0.57,0.57,0.58,0.59","4.16,4.15,4.19,4.49,4.2,4.16"
PS_VALU_Util_max,"7.66,7.64,7.55,7.51,7.57,7.67","24.28,24.33,24.34,24.36,24.4,24.44"
PS_VALU_Active_Threads_avg,"64.0,64.0,64.0,64.0,64.0,64.0","63.66,63.66,63.66,63.66,63.66,63.66"
PS_VALU_Active_Threads_min,"64.0,64.0,64.0,64.0,64.0,64.0","63.66,63.66,63.66,63.66,63.66,63.66"
PS_VALU_Active_Threads_max,"64.0,64.0,64.0,64.01,64.0,64.0","63.66,63.66,63.67,63.66,63.66,63.66"
AO_FLOPs_(Total)_avg,"0.0,0.0,0.0,0.0,0.0,0.0","3328.0,3328.0,3327.65,3328.0,3328.0,3328.0"
AO_FLOPs_(Total)_min,"0.0,0.0,0.0,0.0,0.0,0.0","3327.88,3327.99,3319.58,3328.0,3327.88,3327.96"
AO_FLOPs_(Total)_max,"0.0,0.0,0.0,0.0,0.0,0.0","3328.0,3328.0,3328.0,3328.0,3328.0,3328.0"
AO_F32_OPs_avg,"0.0,0.0,0.0,0.0,0.0,0.0","3328.0,3328.0,3327.65,3328.0,3328.0,3328.0"
AO_F32_OPs_min,"0.0,0.0,0.0,0.0,0.0,0.0","3327.88,3327.99,3319.58,3328.0,3327.88,3327.96"
AO_F32_OPs_max,"0.0,0.0,0.0,0.0,0.0,0.0","3328.0,3328.0,3328.0,3328.0,3328.0,3328.0"
ICSoL_Bandwidth,"3.65,3.65,3.69,3.66,3.7,3.64","5.28,5.29,5.32,5.3,5.32,5.33"
ICSoL_Cache_Hit,"99.83,99.83,99.83,99.83,99.84,99.84","100.0,100.0,100.0,100.0,100.0,100.0"
ICA_Req_min,"13.08,13.11,13.13,13.16,13.22,13.25","51.0,51.0,50.87,51.0,51.0,51.0"
ICA_Req_max,"52811.23,52811.26,52811.29,52811.32,52811.38,52811.4","51.0,51.0,51.0,51.03,51.05,51.0"
ICA_Req_mean,"6774.7,6774.73,6610.68,6774.79,6774.85,6774.87","51.0,51.0,50.99,51.0,51.0,51.0"
ICA_Hits_min,"11.08,11.11,11.13,11.16,11.22,11.25","50.99,50.99,50.87,50.99,50.99,50.99"
ICA_Hits_max,"52809.46,52809.57,52809.44,52809.59,52809.88,52809.63","51.0,51.0,51.0,51.02,51.04,51.0"
ICA_Hits_mean,"6774.57,6774.6,6610.38,6774.64,6774.69,6774.74","51.0,51.0,50.99,51.0,51.0,51.0"
ICA_Misses_-_Non_Duplicated_max,"0.15,0.16,1.98,0.16,0.17,0.16","0.0,0.0,0.0,0.0,0.0,0.0"
ICA_Misses_-_Non_Duplicated_mean,"0.01,0.01,0.02,0.01,0.01,0.01","0.0,0.0,0.0,0.0,0.0,0.0"
ICA_Misses_-_Duplicated_max,"1.86,1.86,1.86,1.86,29.25,1.86","0.01,0.01,0.01,0.01,0.01,0.01"
ICA_Misses_-_Duplicated_mean,"0.12,0.12,0.12,0.12,0.28,0.12","0.0,0.0,0.0,0.0,0.0,0.0"
ICA_Cache_Hit_min,"84.71,84.65,84.77,84.81,84.87,85.0","99.98,99.98,99.98,99.99,99.99,99.98"
ICA_Cache_Hit_max,"100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0"
ICA_Cache_Hit_mean,"99.83,99.83,99.83,99.83,99.84,99.84","100.0,100.0,100.0,100.0,100.0,100.0"
SL1LDCSoL_Bandwidth,"0.04,0.04,0.04,0.04,0.04,0.04","0.31,0.31,0.31,0.31,0.31,0.31"
SL1LDCSoL_Cache_Hit,"33.33,33.33,33.33,33.33,33.16,33.33","99.96,99.96,99.96,99.96,99.96,99.96"
SL1DCA_Req_min,"3.0,3.0,1.5,3.0,3.0,3.0","3.0,3.0,2.99,3.0,3.0,3.0"
SL1DCA_Req_max,"3.0,3.0,3.0,3.0,34.0,3.0","3.0,3.0,3.0,3.0,3.0,3.0"
SL1DCA_Req_mean,"3.0,3.0,2.98,3.0,3.18,3.0","3.0,3.0,3.0,3.0,3.0,3.0"
SL1DCA_Hits_min,"1.0,1.0,0.5,1.0,1.0,1.0","3.0,3.0,2.99,3.0,3.0,3.0"
SL1DCA_Hits_max,"1.0,1.0,1.0,1.0,1.0,1.0","3.0,3.0,3.0,3.0,3.0,3.0"
SL1DCA_Hits_mean,"1.0,1.0,0.99,1.0,1.0,1.0","3.0,3.0,3.0,3.0,3.0,3.0"
SL1DCA_Misses_-_Non_Duplicated_min,"0.13,0.14,0.07,0.13,0.14,0.14","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCA_Misses_-_Non_Duplicated_max,"0.17,0.17,0.16,0.16,31.15,0.17","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCA_Misses_-_Non_Duplicated_mean,"0.15,0.15,0.15,0.15,0.33,0.15","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCA_Misses-_Duplicated_min,"1.83,1.83,0.93,1.84,1.83,1.83","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCA_Misses-_Duplicated_max,"1.87,1.86,1.86,1.87,1.86,1.86","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCA_Misses-_Duplicated_mean,"1.85,1.85,1.84,1.85,1.85,1.85","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCA_Cache_Hit_min,"33.33,33.33,33.33,33.33,2.94,33.33","99.82,99.89,99.86,99.89,99.89,99.89"
SL1DCA_Cache_Hit_max,"33.33,33.33,33.33,33.33,33.33,33.33","99.96,99.96,99.96,99.96,99.96,99.96"
SL1DCA_Cache_Hit_mean,"33.33,33.33,33.33,33.33,33.16,33.33","99.96,99.96,99.96,99.96,99.96,99.96"
SL1DCA_Read_Req_(Total)_min,"3.0,3.0,1.5,3.0,3.0,3.0","3.0,3.0,2.99,3.0,3.0,3.0"
SL1DCA_Read_Req_(Total)_max,"3.0,3.0,4.0,3.0,3.0,3.0","3.0,3.0,3.03,3.0,3.0,3.0"
SL1DCA_Read_Req_(Total)_mean,"3.0,3.0,2.99,3.0,3.0,3.0","3.0,3.0,3.0,3.0,3.0,3.0"
SL1DCA_Read_Req_(1_DWord)_min,"2.0,2.0,1.0,2.0,2.0,2.0","2.0,2.0,1.99,2.0,2.0,2.0"
SL1DCA_Read_Req_(1_DWord)_max,"2.0,2.0,2.0,2.0,2.0,2.0","2.0,2.0,2.03,2.0,2.0,2.0"
SL1DCA_Read_Req_(1_DWord)_mean,"2.0,2.0,1.99,2.0,2.0,2.0","2.0,2.0,2.0,2.0,2.0,2.0"
SL1DCA_Read_Req_(4_DWord)_min,"1.0,1.0,0.5,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0"
SL1DCA_Read_Req_(4_DWord)_max,"1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.01,1.0,1.0,1.0"
SL1DCA_Read_Req_(4_DWord)_mean,"1.0,1.0,0.99,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0"
SL1DCA_Read_Req_(16_DWord)_max,"0.0,0.0,1.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCA_Read_Req_(16_DWord)_mean,"0.0,0.0,0.01,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCL2LI_Read_Req_min,"0.13,0.14,0.07,0.14,0.14,0.14","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCL2LI_Read_Req_max,"0.17,0.17,14.16,0.17,0.17,0.16","0.0,0.0,0.03,0.0,0.0,0.0"
SL1DCL2LI_Read_Req_mean,"0.15,0.15,0.23,0.15,0.15,0.15","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCL2LI_Write_Req_max,"0.0,0.0,17.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCL2LI_Write_Req_mean,"0.0,0.0,0.1,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0"
SL1DCL2LI_Stall_max,"0.0,0.0,0.1,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0"
TA_TA_Busy_avg,"33.09,33.17,32.92,33.09,33.21,33.24","97.67,97.68,97.6,97.68,97.66,97.73"
TA_TA_Busy_min,"1.62,1.69,1.67,1.69,1.7,1.74","86.76,87.3,87.94,86.6,87.44,84.76"
TA_TA_Busy_max,"48.49,48.35,48.53,48.38,48.43,48.71","99.85,99.85,99.85,99.85,99.87,99.84"
TA_TC2TA_Addr_Stall_avg,"2.15,2.03,2.05,1.98,2.18,2.22","74.24,74.99,74.01,76.77,74.94,73.69"
TA_TC2TA_Addr_Stall_min,"0.26,0.26,0.24,0.24,0.24,0.25","43.65,43.61,41.26,42.9,44.52,42.84"
TA_TC2TA_Addr_Stall_max,"4.38,7.88,4.48,3.95,6.91,7.75","102.85,105.36,107.8,113.37,106.94,104.44"
TA_TC2TA_Data_Stall_avg,"24.29,24.4,24.52,24.43,24.58,24.66","0.0,0.0,0.0,0.0,0.0,0.0"
TA_TC2TA_Data_Stall_min,"0.71,0.75,0.74,0.72,0.73,0.75","0.0,0.0,0.0,0.0,0.0,0.0"
TA_TC2TA_Data_Stall_max,"38.21,38.5,38.1,38.08,37.79,39.13","0.0,0.0,0.0,0.0,0.0,0.0"
TA_Total_Instructions_avg,"2257.57,2257.58,2202.67,2257.6,2257.62,2257.62","24.0,24.0,24.0,24.0,24.0,24.0"
TA_Total_Instructions_min,"3.69,3.7,3.71,3.72,3.74,3.75","24.0,24.0,23.94,24.0,24.0,24.0"
TA_Total_Instructions_max,"17603.08,17603.09,17603.1,17603.11,17603.12,17603.13","24.0,24.0,24.0,24.0,24.0,24.0"
TA_Flat_Instr_avg,"2257.57,2257.58,2202.67,2257.6,2257.62,2257.62","24.0,24.0,24.0,24.0,24.0,24.0"
TA_Flat_Instr_min,"3.69,3.7,3.71,3.72,3.74,3.75","24.0,24.0,23.94,24.0,24.0,24.0"
TA_Flat_Instr_max,"17603.08,17603.09,17603.1,17603.11,17603.12,17603.13","24.0,24.0,24.0,24.0,24.0,24.0"
TA_Flat_Read_Instr_avg,"0.0,0.0,0.0,0.0,0.0,0.0","24.0,24.0,24.0,24.0,24.0,24.0"
TA_Flat_Read_Instr_min,"0.0,0.0,0.0,0.0,0.0,0.0","24.0,24.0,23.94,24.0,24.0,24.0"
TA_Flat_Read_Instr_max,"0.0,0.0,0.0,0.0,0.0,0.0","24.0,24.0,24.0,24.0,24.0,24.0"
