,initKernel(double *_ unsigned long),void sumKernel<(int)32_ (int)1024>(double *_ const double *_ int)
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio,"0.01586748538011696,0.015852859649122808,0.01579169005847953,0.01583680116959064,0.015825883040935674,0.015814011695906433,0.01582514619883041","0.6342560813953488,0.6341789651162791,0.6329876511627907,0.6334486046511628,0.6340686860465117,0.6336239418604651,0.6337113953488372"
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,"1.0701754385964912e-06,7.660818713450292e-07,9.064327485380117e-07,5.614035087719299e-07,2.2280701754385964e-06,1.3976608187134503e-06,1e-06","1.1802718139534885,1.1779387790697675,1.1850198372093024,1.1843458953488373,1.1800112093023256,1.1812431511627908,1.1801562093023255"
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio,"0.0004647836257309941,0.0004471754385964913,0.0004901345029239766,0.0004549766081871345,0.0004549649122807018,0.00046207602339181286,0.0004629415204678362","0.004904279069767442,0.00490443023255814,0.004904209302325582,0.004900116279069768,0.0049015,0.004904186046511628,0.00490293023255814"
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio,"0.347824350877193,0.37297485380116957,0.36042573684210527,0.3478505730994152,0.34780312865497076,0.3478141520467836,0.3478146959064327","0.05415820930232559,0.055000825581395345,0.05898182558139535,0.05813537209302325,0.05415551162790697,0.05415831395348837,0.05415829069767442"
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio,"0.05416204093567251,0.0541399298245614,0.054447046783625726,0.05408829239766082,0.05406476608187134,0.05401495906432749,0.05409150877192983","1.4783163720930232,1.4751085813953488,1.4739020697674419,1.4757128139534885,1.4724377906976744,1.4730003372093023,1.473906558139535"
smsp__average_warps_issue_stalled_selected_per_issue_active.ratio,"1.0000102280701755,1.0000028771929825,0.9999993333333334,1.000021918128655,0.9999994795321637,1.0000026432748539,1.000012596491228","0.9999999302325582,0.9999937674418605,0.9999951511627907,0.9999978953488372,1.0,1.0,0.999999953488372"
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,"0.03239180701754386,0.03399166666666666,0.03342115789473684,0.03306831578947369,0.03292927485380117,0.03378340935672515,0.03288554970760234","0.730295965116279,0.7296023139534884,0.744963546511628,0.739205488372093,0.731568953488372,0.7328895,0.7301677325581395"
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,"2.022315590643275,2.0221976023391814,2.0222975263157896,2.022291134502924,2.0222519005847954,2.022199567251462,2.022255777777778","3.603653976744186,3.6026724651162794,3.6034999534883725,3.6037011162790695,3.6028749534883717,3.6029776162790697,3.603104337209302"
smsp__cycles_elapsed.avg.per_second,"1.1687784269005848,1.1802047777777778,1.1042140701754386,1.1877456140350877,1.1981986842105263,1.1779737719298247,1.1842943976608187","1.0912268023255813,1.0916405930232558,1.0914159651162791,1.0911977790697673,1.0908462906976744,1.0909289302325582,1.0911991279069768"
smsp__cycles_elapsed.sum,"90800534.87719299,90844743.62573099,90592699.08771929,90742817.21637426,90819424.84210527,90803765.94152047,90837767.57894737","4469522842.976745,4474216924.651163,4473633263.16279,4470235937.767442,4469776261.767442,4468304925.767442,4469491073.395349"
smsp__inst_executed.avg,"33159.54447522807,33159.75500154386,33160.07079100585,33159.64973839181,33160.17605416959,33159.96552780702,33159.860264619885","912280.7017539999,912280.7017539999,912280.7017539999,912280.7017539999,912280.7017539999,912280.7017539999,912280.7017539999"
smsp__inst_executed.sum,"15120752.280701755,15120848.280701755,15120992.280701755,15120800.280701755,15121040.280701755,15120944.280701755,15120896.280701755","416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0"
smsp__inst_executed_op_branch.sum,"1260340.0233918128,1260348.0233918128,1260360.0233918128,1260344.0233918128,1260364.0233918128,1260356.0233918128,1260352.0233918128","3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0"
smsp__inst_issued.avg,"33163.703242011696,33163.913819637426,33164.232020111114,33163.80522208187,33164.33446185965,33164.12896275439,33164.01949319883","912290.0482456046,912295.7011678722,912294.4803906861,912291.9511423605,912290.0393206627,912290.0348327326,912290.0567115814"
smsp__inst_issued.sum,"15122648.678362573,15122744.701754386,15122889.801169591,15122695.18128655,15122936.514619883,15122842.807017544,15122792.888888888","416004262.0,416006839.73255813,416006283.05813956,416005129.7209302,416004257.9302326,416004255.88372093,416004265.8604651"
smsp__issue_active.avg.pct_of_peak_sustained_active,"34.93672046198831,34.83620603508772,34.866610584795325,34.96129929239766,34.98197397076023,34.95725466081871,34.97517452631579","12.018775465116278,12.003745499999999,11.990032337209302,12.028938093023255,12.010710941860465,12.006238837209303,12.015556232558138"
smsp__issue_active.avg.per_cycle_active,"0.3476608187134503,0.3466666666666667,0.34690058479532165,0.3480701754385965,0.34812865497076023,0.3478362573099415,0.3480701754385965","0.1188372093023256,0.11872093023255816,0.11848837209302325,0.11895348837209303,0.11895348837209303,0.11895348837209303,0.11872093023255816"
smsp__issue_inst0.avg.pct_of_peak_sustained_active,"65.0632795380117,65.16379396491227,65.13338941520469,65.03870070760235,65.01802602923976,65.04274533918128,65.02482547368422","87.98122453488372,87.99625449999999,88.00996766279069,87.97106190697674,87.98928905813953,87.99376116279069,87.98444376744186"
smsp__pcsamp_aggregated_passes,"2.0,2.1578947368421053,2.017543859649123,2.0,2.0,2.0,2.0","2.0,2.0,2.0,2.0,2.0,2.0,2.0"
smsp__pcsamp_buffer_size_bytes,"33.554432,33.554432,33.554432,33.554432,33.554432,33.554432,33.554432","33.554432,33.554432,33.554432,33.554432,33.554432,33.554432,33.554432"
smsp__pcsamp_interval,"5.0,4.7368421052631575,4.976608187134503,5.0,5.0,5.0,5.0","6.325581395348837,6.348837209302325,5.023255813953488,5.953488372093023,6.325581395348837,6.023255813953488,6.209302325581396"
smsp__pcsamp_interval_cycles,"1024.0,971.7894736842105,1024.187134502924,1024.0,1024.0,1024.0,1024.0","2845.767441860465,2941.0232558139537,1047.8139534883721,2238.5116279069766,2845.767441860465,2393.3023255813955,2690.9767441860463"
smsp__pcsamp_sample_count,"9873.970760233919,9864.309941520467,9643.105263157895,9873.251461988304,9874.12865497076,9874.245614035088,9873.842105263158","406525.68604651163,438021.73255813954,1079381.5,637426.1744186047,420959.3604651163,594226.8255813953,458159.988372093"
smsp__pcsamp_warps_issue_stalled_branch_resolving,"436.98830409356725,461.2573099415205,463.4327485380117,474.0877192982456,433.35087719298247,445.3859649122807,465.3333333333333","318.66279069767444,325.3953488372093,710.0930232558139,408.9767441860465,314.4767441860465,402.6046511627907,355.6162790697674"
smsp__pcsamp_warps_issue_stalled_branch_resolving_not_issued,"435.0643274853801,460.01169590643275,461.9122807017544,471.46783625730995,431.37426900584796,443.58479532163744,464.7368421052632","275.59302325581393,282.69767441860466,629.4883720930233,360.9186046511628,272.6744186046512,352.9651162790698,307.7906976744186"
smsp__pcsamp_warps_issue_stalled_dispatch_stall,"79.70760233918129,106.76608187134502,85.67836257309942,101.91228070175438,87.2046783625731,87.95906432748538,94.47368421052632","5396.53488372093,5267.837209302325,10391.639534883721,6465.639534883721,5313.325581395349,6409.6511627906975,5854.5"
smsp__pcsamp_warps_issue_stalled_dispatch_stall_not_issued,"79.43859649122807,106.54385964912281,85.32163742690058,101.59649122807018,86.98245614035088,87.71345029239767,94.19883040935673","1482.6279069767443,1501.3139534883721,3181.9651162790697,1907.5,1489.2558139534883,1861.7906976744187,1646.6744186046512"
smsp__pcsamp_warps_issue_stalled_drain,"6.555555555555555,5.9298245614035086,6.239766081871345,6.298245614035087,6.3274853801169595,6.450292397660819,6.631578947368421","133.13953488372093,137.2906976744186,314.01162790697674,175.8372093023256,135.2906976744186,173.17441860465115,149.25581395348837"
smsp__pcsamp_warps_issue_stalled_drain_not_issued,"6.508771929824562,5.883040935672515,6.2105263157894735,6.233918128654971,6.2748538011695905,6.374269005847953,6.567251461988304","114.93023255813954,120.8953488372093,281.0348837209302,156.69767441860466,118.1046511627907,152.7093023255814,130.88372093023256"
smsp__pcsamp_warps_issue_stalled_imc_miss,"28.228070175438596,26.0,27.707602339181285,28.198830409356724,28.22222222222222,28.169590643274855,27.894736842105264","1.302325581395349,1.3372093023255813,2.7906976744186047,2.186046511627907,1.255813953488372,1.7674418604651163,1.4883720930232558"
smsp__pcsamp_warps_issue_stalled_imc_miss_not_issued,"28.204678362573098,25.976608187134502,27.68421052631579,28.181286549707604,28.204678362573098,28.15204678362573,27.87719298245614","0.6627906976744186,0.7209302325581395,1.6511627906976745,1.2674418604651163,0.7674418604651163,1.058139534883721,0.872093023255814"
smsp__pcsamp_warps_issue_stalled_lg_throttle,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","41168.13953488372,44571.395348837206,105924.79069767441,66087.05813953489,42892.67441860465,60752.8023255814,45799.48837209302"
smsp__pcsamp_warps_issue_stalled_lg_throttle_not_issued,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","39329.0,42692.29069767442,102011.38372093023,63614.09302325582,41040.70930232558,58393.95348837209,43788.06976744186"
smsp__pcsamp_warps_issue_stalled_long_scoreboard,"3054.280701754386,3076.245614035088,3013.5438596491226,3094.9122807017543,3085.345029239766,3058.6374269005846,3060.8362573099416","329153.0581395349,357450.5348837209,898830.9302325582,526111.1395348837,342080.79069767444,489136.4651162791,372707.77906976745"
smsp__pcsamp_warps_issue_stalled_long_scoreboard_not_issued,"1666.1052631578948,1680.046783625731,1644.6491228070176,1701.625730994152,1689.017543859649,1671.4269005847952,1697.93567251462","290645.93023255817,318010.5813953488,810541.6976744186,475292.5465116279,303500.66279069765,439670.37209302327,329619.9069767442"
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,"2.742690058479532,2.0058479532163744,1.8070175438596492,1.4853801169590644,1.7076023391812865,0.9473684210526315,1.8187134502923976","2217.8953488372094,2180.232558139535,4280.441860465116,2619.7558139534885,2205.5697674418607,2594.1511627906975,2426.0348837209303"
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle_not_issued,"0.27485380116959063,0.3216374269005848,0.23391812865497075,0.34502923976608185,0.27485380116959063,0.2982456140350877,0.26900584795321636","369.9418604651163,373.01162790697674,735.7906976744187,455.0232558139535,372.72093023255815,452.7325581395349,404.0"
smsp__pcsamp_warps_issue_stalled_mio_throttle,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","3749.4186046511627,3719.6627906976746,7751.174418604651,4734.453488372093,3733.4418604651164,4611.116279069767,4097.372093023256"
smsp__pcsamp_warps_issue_stalled_mio_throttle_not_issued,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","2183.2093023255816,2185.1279069767443,4666.232558139535,2862.5,2184.4186046511627,2765.2093023255816,2391.232558139535"
smsp__pcsamp_warps_issue_stalled_misc,"0.005847953216374269,0.011695906432748537,0.0,0.0,0.011695906432748537,0.017543859649122806,0.005847953216374269","24.058139534883722,25.848837209302324,62.43023255813954,36.16279069767442,24.848837209302324,33.116279069767444,28.08139534883721"
smsp__pcsamp_warps_issue_stalled_misc_not_issued,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","23.767441860465116,25.569767441860463,61.848837209302324,35.848837209302324,24.476744186046513,32.74418604651163,27.674418604651162"
smsp__pcsamp_warps_issue_stalled_no_instructions,"638.3567251461989,606.3801169590644,586.5497076023391,608.5497076023391,615.8654970760234,620.7076023391813,630.8011695906433","132.87209302325581,129.0,263.0,161.1046511627907,128.2906976744186,158.96511627906978,144.3139534883721"
smsp__pcsamp_warps_issue_stalled_no_instructions_not_issued,"634.8304093567251,603.3157894736842,582.5497076023391,605.5087719298245,612.7543859649123,617.859649122807,627.9883040935673","100.33720930232558,98.33720930232558,199.62790697674419,123.6046511627907,96.63953488372093,120.34883720930233,108.4186046511628"
smsp__pcsamp_warps_issue_stalled_not_selected,"50.941520467836256,45.90643274853801,49.461988304093566,40.42690058479532,43.53216374269006,49.56140350877193,55.10526315789474","5028.081395348837,4861.988372093023,9388.5,5923.476744186047,4959.290697674419,5880.895348837209,5400.8488372093025"
smsp__pcsamp_warps_issue_stalled_selected,"1841.6315789473683,1834.4912280701753,1780.3391812865498,1809.9649122807018,1839.8245614035088,1846.970760233918,1816.5906432748538","3668.3720930232557,3710.8023255813955,7982.372093023256,4707.197674418605,3672.3837209302324,4592.581395348837,4076.4767441860463"
smsp__pcsamp_warps_issue_stalled_short_scoreboard,"1.5964912280701755,1.4795321637426901,1.608187134502924,1.8538011695906433,1.608187134502924,1.654970760233918,1.912280701754386","1882.046511627907,1957.6627906976744,4386.046511627907,2747.546511627907,1923.9302325581396,2571.046511627907,2058.1162790697676"
smsp__pcsamp_warps_issue_stalled_short_scoreboard_not_issued,"1.5730994152046784,1.4444444444444444,1.5321637426900585,1.7719298245614035,1.5380116959064327,1.6023391812865497,1.871345029239766","1014.5813953488372,1100.3488372093022,2641.1279069767443,1684.3372093023256,1060.0116279069769,1527.0581395348838,1115.406976744186"
smsp__pcsamp_warps_issue_stalled_wait,"3732.93567251462,3697.8362573099416,3626.7368421052633,3705.561403508772,3731.12865497076,3727.783625730994,3712.438596491228","13652.10465116279,13682.744186046511,29093.279069767443,17245.63953488372,13573.790697674418,16908.488372093023,15060.616279069767"
smsp__pcsamp_warps_issue_stalled_wait_not_issued,"3345.1403508771928,3309.5730994152045,3258.1461988304095,3335.8011695906434,3341.40350877193,3336.6023391812864,3320.7660818713452","6917.2441860465115,7050.8488372093025,15626.372093023256,9104.67441860465,6933.232558139535,8855.023255813954,7718.860465116279"
smsp__sass_average_branch_targets_threads_uniform.pct,"100.0,100.0,100.0,100.0,100.0,100.0,100.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
smsp__sass_inst_executed_op_global_ld.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0"
smsp__sass_inst_executed_op_global_st.sum,"1259508.0233918128,1259516.0233918128,1259528.0233918128,1259512.0233918128,1259532.0233918128,1259524.0233918128,1259520.0233918128","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
smsp__sass_inst_executed_op_memory_64b.sum,"1259508.0233918128,1259516.0233918128,1259528.0233918128,1259512.0233918128,1259532.0233918128,1259524.0233918128,1259520.0233918128","102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0"
smsp__sass_thread_inst_executed_op_dadd_pred_on.sum.per_cycle_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","431.2764596860465,430.6129441395349,430.3318636744186,431.2572607906977,431.08188750000005,430.73590022093026,431.0997784534884"
smsp__sass_thread_inst_executed_op_dmul_pred_on.sum.per_cycle_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","13.477389372093024,13.456654453488373,13.447870779069767,13.476789395348836,13.471308976744186,13.460496895348836,13.471868081395348"
smsp__thread_inst_executed_per_inst_executed.ratio,"32.0,32.0,32.0,32.0,32.0,32.0,32.0","32.0,32.0,32.0,32.0,32.0,32.0,32.0"
smsp__thread_inst_executed_pred_on_per_inst_executed.ratio,"31.932573099415205,31.932573099415205,31.932573099415205,31.932573099415205,31.932748538011698,31.932573099415205,31.932573099415205","31.269302325581393,31.269302325581393,31.269302325581393,31.269302325581393,31.269302325581393,31.269302325581393,31.269302325581393"
smsp__warps_active.avg.peak_sustained,"16.0,16.0,16.0,16.0,16.0,16.0,16.0","16.0,16.0,16.0,16.0,16.0,16.0,16.0"
smsp__warps_active.avg.per_cycle_active,"1.9923064269005848,1.992920514619883,1.993015619883041,1.995548532163743,1.9981248596491228,1.9953247076023393,1.9958581461988303","12.776972825581396,12.773665755813953,12.765723860465116,12.760702581395348,12.759033511627905,12.775642011627907,12.764568976744187"
smsp__warps_eligible.avg.per_cycle_active,"0.36653622807017544,0.36546208187134505,0.3659137485380117,0.3668035087719298,0.36705665497076023,0.3667392046783626,0.36696713450292395","0.3087046976744186,0.30664496511627903,0.3056455348837209,0.3080565,0.3062781395348837,0.3063301279069767,0.30690915116279066"
thread_inst_executed,"483864072.98245615,483867144.98245615,483871752.98245615,483865608.98245615,483873288.98245615,483870216.98245615,483868680.98245615","13312000000.0,13312000000.0,13312000000.0,13312000000.0,13312000000.0,13312000000.0,13312000000.0"
thread_inst_executed_true,"483837448.98245615,483840520.98245615,483845128.98245615,483838984.98245615,483846664.98245615,483843592.98245615,483842056.98245615","13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744"
gpu__time_duration.sum,"0.1818537543859649,0.18195536842105262,0.181890432748538,0.181895298245614,0.18153730994152048,0.18183223391812867,0.1819402105263158","8.980879255813955,8.986612465116279,8.985668837209301,8.98292911627907,8.982100465116279,8.981822139534883,8.981042976744186"
